"","county","count_white","total","population_of_one_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","population_of_two_or_more_races","population_of_two_races","white_black_or_african_american","white_american_indian_and_alaska_native","white_asian","white_native_hawaiian_and_other_pacific_islander","white_some_other_race","black_or_african_american_american_indian_and_alaska_native","black_or_african_american_asian","black_or_african_american_native_hawaiian_and_other_pacific_islander","black_or_african_american_some_other_race","american_indian_and_alaska_native_asian","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_some_other_race","asian_native_hawaiian_and_other_pacific_islander","asian_some_other_race","native_hawaiian_and_other_pacific_islander_some_other_race","population_of_three_races","white_black_or_african_american_american_indian_and_alaska_native","white_black_or_african_american_asian","white_black_or_african_american_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_some_other_race","white_american_indian_and_alaska_native_asian","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander","white_asian_some_other_race","white_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_asian_some_other_race","black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_asian_some_other_race","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_four_races","white_black_or_african_american_american_indian_and_alaska_native_asian","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_asian_some_other_race","white_black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_asian_some_other_race","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_five_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_six_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","total_black","total_white","white_killed_per_huntho"
"11","Iberia",2,"69929","66207","39206",23162,"  307"," 1943","    3"," 1586"," 3722"," 3461",955,"  401","  164","   20"," 1638",81,11,6,152,"    0","    0","   26","    3","    1","    3","  238",75,12,8,69,"    2","    0","   60","    5","    4","    0",0,0,3,0,0,0,"    0","    0","    0","    0","   19",0,0,8,1,0,0,"    1","    0","    0","    0",2,7,0,0,"    0","    4",1,3,0,0,"    0",0,"    0",0,24556,39206,5.10126001122277
"12","Iberville",2,"30241","29165","14833",13377,"   67","  123","   13","  752"," 1076","  995",228,"  185","   48","    1","  435",32,10,2,30,"    4","    0","    5","   13","    1","    1","   62",14,0,0,12,"    8","    0","   16","    2","    3","    0",3,0,0,1,2,0,"    0","    0","    1","    0","   16",10,0,2,2,0,2,"    0","    0","    0","    0",0,0,0,0,"    0","    3",3,0,0,0,"    0",0,"    0",0,13730,14833,13.4834490662712
"13","Jefferson",6,"440781","397972","220935",117892,"  2524"," 19780","   152"," 36689"," 42809"," 40608",3516,"  4150","  2579","    94"," 25896",607,271,46,2564,"    48","     3","   519","    62","   182","    71","  1971",438,131,22,439,"   102","    10","   479","    34","   191","    17",4,1,60,5,9,4,"     1","     7","     0","    17","   210",42,0,129,8,3,3,"     4","    13","     1","     0",5,0,0,2,"     0","    20",3,13,0,0,"     4",0,"     0",0,126217,220935,2.71573087107068
"14","Lafayette",2,"241753","227471","153363",61086,"   961","  5268","    76","  6717"," 14282"," 13325",2373,"  1987","  1014","    48","  6741",347,101,30,549,"    11","     2","    64","    27","    24","     7","   848",282,32,0,208,"    33","     0","   196","    35","    38","     1",6,0,7,8,2,0,"     0","     0","     0","     0","   100",15,3,76,2,0,0,"     0","     1","     0","     3",0,0,0,0,"     0","     9",4,5,0,0,"     0",0,"     0",0,65136,153363,1.3040955119553
"15","Lafourche",1,"97557","92250","71710",14640," 2554","  773","   31"," 2542"," 5307"," 5059",861," 1561","  187","    8"," 2162",115,27,0,78,"    7","    4","   36","    7","    6","    0","  230",96,4,0,21,"   20","    0","   68","    7","   11","    0",0,0,0,1,1,0,"    1","    0","    0","    0","   17",3,0,2,0,0,0,"    6","    0","    1","    0",0,0,0,5,"    0","    1",0,1,0,0,"    0",0,"    0",0,15855,71710,1.39450564774787
"16","Lincoln",1,"48396","46477","26034",18729,"  188","  685","    5","  836"," 1919"," 1811",416,"  455","  179","   18","  583",68,14,11,52,"    2","    0","    4","    6","    1","    2","   84",30,7,0,10,"   13","    8","    7","    4","    0","    0",1,0,1,3,0,0,"    0","    0","    0","    0","   18",1,3,5,4,2,0,"    2","    0","    0","    0",0,0,0,1,"    0","    6",2,4,0,0,"    0",0,"    0",0,19364,26034,3.84113082891603
"17","Livingston",4,"142282","133278","116855",11268,"   463","  1123","    38","  3531","  9004","  8624",1003,"  2505","   483","    61","  4318",51,24,3,122,"     0","     1","    12","    17","    19","     5","   343",88,22,0,38,"    18","     6","   124","    17","    18","     8",0,0,2,1,0,0,"     1","     0","     0","     0","    37",11,0,25,0,0,0,"     0","     0","     0","     1",0,0,0,0,"     0","     0",0,0,0,0,"     0",0,"     0",0,12658,116855,3.42304565487142
"18","Natchitoches",2,"37515","35633","19361",14948,"  326","  173","   20","  805"," 1882"," 1663",387,"  489","   63","    9","  464",65,27,1,133,"    0","    0","   10","    0","   10","    5","  185",51,15,2,62,"    0","    4","   32","    4","    3","   10",1,0,0,0,1,0,"    0","    0","    0","    0","   28",0,0,22,4,0,0,"    0","    0","    0","    2",0,0,0,0,"    0","    6",3,0,0,0,"    0",3,"    0",0,15725,19361,10.3300449356955
"19","Orleans",2,"383997","359331","126462",208273,"  1337"," 10703","   147"," 12409"," 24666"," 22442",3607,"  1899","  1792","    85","  9384",947,353,44,4010,"    26","     4","   152","    45","    81","    13","  1822",601,137,1,449,"    72","     0","   274","    37","    79","     6",29,0,89,19,22,5,"     0","     0","     0","     2","   381",44,7,295,3,4,0,"     6","    11","     0","     1",6,1,0,3,"     0","    13",7,5,0,0,"     1",0,"     8",8,218969,126462,1.58150274390726
"20","Ouachita",1,"160368","153589"," 88545",59083,"   510","  2291","    42","  3118","  6779","  6410",1316,"  2075","   431","    33","  1958",274,72,13,188,"     6","     1","    24","     0","    14","     5","   297",139,16,0,34,"    21","     0","    51","     9","     5","     1",3,1,12,0,5,0,"     0","     0","     0","     0","    58",8,9,28,0,1,0,"     4","     7","     0","     0",0,0,0,1,"     0","    14",7,7,0,0,"     0",0,"     0",0,61217,88545,1.1293692472754
"21","Rapides",3,"130023","123167"," 77510",40484,"  1026","  1828","    35","  2284","  6856","  6394",1256,"  1951","   552","    45","  2021",259,78,5,191,"     3","     0","    16","     6","     5","     6","   417",172,40,0,60,"     5","     5","   103","     4","    24","     0",2,1,0,1,0,0,"     0","     0","     0","     0","    38",10,0,24,1,0,0,"     0","     1","     1","     0",0,1,0,0,"     0","     2",0,0,0,0,"     0",2,"     5",5,42592,77510,3.87046832666753
"22","Red River",1,"7620","7275","4195",2965,"  47","   1","   0","  67"," 345"," 289",97," 109","  13","   0","  56",7,1,0,6,"   0","   0","   0","   0","   0","   0","  45",19,1,0,1,"   2","   0","  15","   5","   1","   0",0,0,1,0,0,0,"   0","   0","   0","   0","  11",0,0,7,1,0,0,"   0","   3","   0","   0",0,0,0,0,"   0","   0",0,0,0,0,"   0",0,"   0",0,3106,4195,23.8379022646007
"23","St. Martin",1,"51767","49734","33259",15099,"  202","  441","    3","  730"," 2033"," 1865",577,"  310","   98","   14","  701",41,18,0,90,"    4","    0","    8","    1","    3","    0","  152",38,7,0,23,"   15","    0","   19","   11","   24","    3",4,3,5,0,0,0,"    0","    0","    0","    0","   16",5,0,4,5,0,2,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,15921,33259,3.00670495204306
"24","St. Mary",2,"49406","46138","26949",15058," 1006","  647","   13"," 2465"," 3268"," 3079",614,"  626","  152","   20"," 1455",78,13,7,78,"    2","    0","   17","    2","   10","    5","  168",80,19,2,20,"    6","    1","   19","    6","    2","    3",4,0,1,1,0,1,"    1","    0","    1","    1","   14",0,5,2,0,1,0,"    0","    1","    0","    4",0,0,0,0,"    1","    3",0,0,0,0,"    0",3,"    4",4,15991,26949,7.42142565586849
"25","St. Tammany",8,"264570","242196","196641",34356,"  1184","  3898","   105","  6012"," 22374"," 20803",2349,"  4012","  1517","   111"," 11589",296,141,9,562,"    15","     2","    66","    49","    60","    25","  1303",304,66,7,248,"    67","    10","   385","    39","   123","    10",5,0,12,17,8,1,"     0","     0","     1","     0","   263",31,2,206,2,10,0,"     0","     4","     0","     0",3,0,0,3,"     2","     5",4,1,0,0,"     0",0,"     0",0,38643,196641,4.06832756139361
"26","Tangipahoa",4,"133157","125921"," 81336",40039,"   533","  1003","    24","  2986","  7236","  6811",1216,"  1759","   382","    58","  2937",184,25,19,150,"     8","     1","    44","    14","    12","     2","   376",112,4,0,64,"    24","     4","   113","    15","    12","     7",0,3,10,5,2,0,"     0","     0","     0","     1","    30",0,0,25,0,1,0,"     3","     0","     0","     0",0,1,0,0,"     0","    19",5,14,0,0,"     0",0,"     0",0,41879,81336,4.91787154519524
"27","Terrebonne",4,"109580","102453"," 69934",21253,"  6070","  1322","    40","  3834","  7127","  6648",975,"  2412","   301","    26","  2215",470,31,3,122,"    27","     9","    48","     6","     3","     0","   437",176,12,4,52,"    39","     0","    98","    19","    20","     4",0,0,5,2,0,6,"     0","     0","     0","     0","    40",8,4,15,3,0,0,"     0","     2","     0","     3",3,0,0,2,"     0","     2",0,1,0,0,"     1",0,"     0",0,23147,69934,5.71967855406526
"28","Union",1,"21107","20308","14460",4995,"   77","   38","   10","  728","  799","  749",158,"  245","   21","    5","  280",23,5,0,4,"    0","    0","    8","    0","    0","    0","   46",13,3,0,12,"    0","    1","    7","    1","    0","    0",0,1,2,4,0,1,"    0","    0","    0","    1","    4",0,0,3,0,0,0,"    1","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,5224,14460,6.91562932226833
"29","Vernon",1,"48750","44667","35087",6491,"  566","  888","  301"," 1334"," 4083"," 3800",714,"  978","  409","   73"," 1284",68,60,10,92,"    9","    0","   16","   56","   14","   17","  251",67,41,7,13,"   17","    6","   34","   24","   21","    1",10,5,4,0,1,0,"    0","    0","    0","    0","   29",5,1,8,6,3,0,"    3","    1","    0","    0",0,0,0,2,"    0","    3",3,0,0,0,"    0",0,"    0",0,7611,35087,2.85005842619774
"30","Washington",1,"45463","43664","29943",12858,"  143","  164","    0","  556"," 1799"," 1700",395,"  573","   36","    4","  574",54,11,2,40,"    0","    0","    7","    2","    2","    0","   79",25,4,0,17,"    9","    0","   13","    2","    0","    0",0,0,3,6,0,0,"    0","    0","    0","    0","   18",0,0,6,1,0,0,"    0","    1","    0","    0",0,0,0,10,"    0","    2",0,2,0,0,"    0",0,"    0",0,13434,29943,3.33967872290686
"31","Webster",1,"36967","35547","22735",12185,"  149","  138","   12","  328"," 1420"," 1355",371,"  530","   56","    7","  311",45,0,0,25,"    0","    1","    6","    3","    0","    0","   59",37,7,2,0,"    6","    0","    1","    5","    0","    0",0,0,0,1,0,0,"    0","    0","    0","    0","    3",2,0,1,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    3",0,1,2,0,"    0",0,"    0",0,12679,22735,4.39850450846712
"32","West Baton Rouge",1,"27199","25962","14307",10754,"   85","  220","   10","  586"," 1237"," 1151",261,"  217","   44","   11","  502",43,7,3,51,"    3","    3","    0","    5","    1","    0","   78",19,2,2,14,"    2","    2","   19","    6","    0","    0",0,1,1,4,4,0,"    2","    0","    0","    0","    8",2,0,2,0,0,0,"    0","    4","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,11170,14307,6.98958551757881
"33","Winn",2,"13755","13261"," 8594",3525,"   77","  173","   20","  872","  494","  437",139,"  172","   23","    4","   60",7,4,1,13,"    1","    0","   11","    2","    0","    0","   50",10,3,4,7,"    1","    0","    3","    7","    0","    5",3,0,3,4,0,0,"    0","    0","    0","    0","    3",0,0,3,0,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    4",0,1,0,0,"    3",0,"    0",0,3727,8594,23.2720502676286
