"","year","ave"
"1","2013",35.75
"2","2014",35.4782608695652
"3","2015",36.4137931034483
"4","2016",36.7272727272727
"5","2017",36
"6","2018",36.1111111111111
"7","2019",35.3809523809524
"8","2020",39.2857142857143
"9","2021",40.304347826087
"10","2022",40.9444444444444
"11","2023",34.5714285714286
