"","county","count_black","total","population_of_one_race","white_alone","black_or_african_american_alone","american_indian_and_alaska_native_alone","asian_alone","native_hawaiian_and_other_pacific_islander_alone","some_other_race_alone","population_of_two_or_more_races","population_of_two_races","white_black_or_african_american","white_american_indian_and_alaska_native","white_asian","white_native_hawaiian_and_other_pacific_islander","white_some_other_race","black_or_african_american_american_indian_and_alaska_native","black_or_african_american_asian","black_or_african_american_native_hawaiian_and_other_pacific_islander","black_or_african_american_some_other_race","american_indian_and_alaska_native_asian","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_some_other_race","asian_native_hawaiian_and_other_pacific_islander","asian_some_other_race","native_hawaiian_and_other_pacific_islander_some_other_race","population_of_three_races","white_black_or_african_american_american_indian_and_alaska_native","white_black_or_african_american_asian","white_black_or_african_american_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_some_other_race","white_american_indian_and_alaska_native_asian","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander","white_asian_some_other_race","white_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_asian_some_other_race","black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","american_indian_and_alaska_native_asian_some_other_race","american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_four_races","white_black_or_african_american_american_indian_and_alaska_native_asian","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_asian_some_other_race","white_black_or_african_american_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_american_indian_and_alaska_native_asian_some_other_race","white_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_five_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander","white_black_or_african_american_american_indian_and_alaska_native_asian_some_other_race","white_black_or_african_american_american_indian_and_alaska_native_native_hawaiian_and_other_pacific_islander_some_other_race","white_black_or_african_american_asian_native_hawaiian_and_other_pacific_islander_some_other_race","white_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","population_of_six_races","white_black_or_african_american_american_indian_and_alaska_native_asian_native_hawaiian_and_other_pacific_islander_some_other_race","total_black","total_white","black_killed_per_huntho"
"11","Franklin",1,"19774","19195","12492",6554,"   31","   41","    0","   77","  579","  523",185,"  165","   13","    1","  126",16,0,0,9,"    5","    0","    0","    2","    0","    1","   32",5,4,0,0,"    3","    2","    7","    1","    1","    0",0,1,1,3,4,0,"    0","    0","    0","    0","   19",7,0,5,3,0,0,"    4","    0","    0","    0",0,0,0,0,"    0","    2",0,2,0,0,"    0",0,"    3",3,6802,12492,14.7015583651867
"12","Iberia",1,"69929","66207","39206",23162,"  307"," 1943","    3"," 1586"," 3722"," 3461",955,"  401","  164","   20"," 1638",81,11,6,152,"    0","    0","   26","    3","    1","    3","  238",75,12,8,69,"    2","    0","   60","    5","    4","    0",0,0,3,0,0,0,"    0","    0","    0","    0","   19",0,0,8,1,0,0,"    1","    0","    0","    0",2,7,0,0,"    0","    4",1,3,0,0,"    0",0,"    0",0,24556,39206,4.07232448281479
"13","Jefferson",16,"440781","397972","220935",117892,"  2524"," 19780","   152"," 36689"," 42809"," 40608",3516,"  4150","  2579","    94"," 25896",607,271,46,2564,"    48","     3","   519","    62","   182","    71","  1971",438,131,22,439,"   102","    10","   479","    34","   191","    17",4,1,60,5,9,4,"     1","     7","     0","    17","   210",42,0,129,8,3,3,"     4","    13","     1","     0",5,0,0,2,"     0","    20",3,13,0,0,"     4",0,"     0",0,126217,220935,12.6765808092412
"14","Lafayette",6,"241753","227471","153363",61086,"   961","  5268","    76","  6717"," 14282"," 13325",2373,"  1987","  1014","    48","  6741",347,101,30,549,"    11","     2","    64","    27","    24","     7","   848",282,32,0,208,"    33","     0","   196","    35","    38","     1",6,0,7,8,2,0,"     0","     0","     0","     0","   100",15,3,76,2,0,0,"     0","     1","     0","     3",0,0,0,0,"     0","     9",4,5,0,0,"     0",0,"     0",0,65136,153363,9.21149594694178
"15","Lincoln",1,"48396","46477","26034",18729,"  188","  685","    5","  836"," 1919"," 1811",416,"  455","  179","   18","  583",68,14,11,52,"    2","    0","    4","    6","    1","    2","   84",30,7,0,10,"   13","    8","    7","    4","    0","    0",1,0,1,3,0,0,"    0","    0","    0","    0","   18",1,3,5,4,2,0,"    2","    0","    0","    0",0,0,0,1,"    0","    6",2,4,0,0,"    0",0,"    0",0,19364,26034,5.16422226812642
"16","Livingston",1,"142282","133278","116855",11268,"   463","  1123","    38","  3531","  9004","  8624",1003,"  2505","   483","    61","  4318",51,24,3,122,"     0","     1","    12","    17","    19","     5","   343",88,22,0,38,"    18","     6","   124","    17","    18","     8",0,0,2,1,0,0,"     1","     0","     0","     0","    37",11,0,25,0,0,0,"     0","     0","     0","     1",0,0,0,0,"     0","     0",0,0,0,0,"     0",0,"     0",0,12658,116855,7.90014220255965
"17","Madison",1,"10017"," 9784"," 3475",6224,"   29","    6","    5","   45","  233","  205",80,"   23","    1","    1","   48",23,4,2,9,"    0","    0","    6","    5","    2","    1","   25",12,0,0,0,"    0","    0","    1","    2","    4","    0",0,0,4,2,0,0,"    0","    0","    0","    0","    3",0,0,2,1,0,0,"    0","    0","    0","    0",0,0,0,0,"    0","    0",0,0,0,0,"    0",0,"    0",0,6363,3475,15.7158573000157
"18","Morehouse",1,"25629","24697","12281",12048,"   85","   96","    3","  184","  932","  856",299,"  273","   44","    1","  141",59,11,0,19,"    0","    0","    7","    0","    2","    0","   66",24,7,0,4,"   12","    0","    5","    0","    2","    5",5,2,0,0,0,0,"    0","    0","    0","    0","    9",0,1,0,0,0,0,"    3","    1","    0","    0",4,0,0,0,"    0","    1",1,0,0,0,"    0",0,"    0",0,12484,12281,8.01025312399872
"19","Orleans",13,"383997","359331","126462",208273,"  1337"," 10703","   147"," 12409"," 24666"," 22442",3607,"  1899","  1792","    85","  9384",947,353,44,4010,"    26","     4","   152","    45","    81","    13","  1822",601,137,1,449,"    72","     0","   274","    37","    79","     6",29,0,89,19,22,5,"     0","     0","     0","     2","   381",44,7,295,3,4,0,"     6","    11","     0","     1",6,1,0,3,"     0","    13",7,5,0,0,"     1",0,"     8",8,218969,126462,5.93691344436884
"20","Ouachita",7,"160368","153589"," 88545",59083,"   510","  2291","    42","  3118","  6779","  6410",1316,"  2075","   431","    33","  1958",274,72,13,188,"     6","     1","    24","     0","    14","     5","   297",139,16,0,34,"    21","     0","    51","     9","     5","     1",3,1,12,0,5,0,"     0","     0","     0","     0","    58",8,9,28,0,1,0,"     4","     7","     0","     0",0,0,0,1,"     0","    14",7,7,0,0,"     0",0,"     0",0,61217,88545,11.434732182237
