Agency,Reperesentation Status
Federal,Not Represented in Misconduct Data
Federal Department of Justice,Not Represented in Misconduct Data
Fenton Police Department,Not Represented in Misconduct Data
Fisher Police Department,Not Represented in Misconduct Data
Florien Police Department,Not Represented in Misconduct Data
Folsom Police Department,Not Represented in Misconduct Data
Fordoche Police Department,Not Represented in Misconduct Data
Forest Hill Police Department,Not Represented in Misconduct Data
Forest Police Department,Not Represented in Misconduct Data
Franklin Police Department,Not Represented in Misconduct Data
Franklin Parish Sheriff's Office,Not Represented in Misconduct Data
Georgetown Police Department,Not Represented in Misconduct Data
Gibsland Police Department,Not Represented in Misconduct Data
Gilbert Police Department,Not Represented in Misconduct Data
Gillis West Long Center,Not Represented in Misconduct Data
Glenmora Police Department,Not Represented in Misconduct Data
Gonzales Police Department,Not Represented in Misconduct Data
Grambling Police Department,Not Represented in Misconduct Data
Grambling University Police Department,Not Represented in Misconduct Data
Grand Coteau Police Department,Not Represented in Misconduct Data
Grayson Police Department,Not Represented in Misconduct Data
Greensburg Police Department,Not Represented in Misconduct Data
Greenwood Police Department,Not Represented in Misconduct Data
Grosse Tete Police Department,Not Represented in Misconduct Data
Gueydan Police Department,Not Represented in Misconduct Data
Harrisonburg Police Department,Not Represented in Misconduct Data
Hathaway Fire Department,Not Represented in Misconduct Data
Haughton Police Department,Not Represented in Misconduct Data
Haynesville Police Department,Not Represented in Misconduct Data
Heflin Police Department,Not Represented in Misconduct Data
Hessmer Police Department,Not Represented in Misconduct Data
Hodge Police Department,Not Represented in Misconduct Data
Holy Cross University Police Department,Not Represented in Misconduct Data
Homeland Security,Not Represented in Misconduct Data
Hornbeck Police Department,Not Represented in Misconduct Data
Hosston Police Department,Not Represented in Misconduct Data
Houma City Marshal's Office,Not Represented in Misconduct Data
Housing Authority of New Orleans,Not Represented in Misconduct Data
Iberia District Attorney's Office,Not Represented in Misconduct Data
Independence Police Department,Not Represented in Misconduct Data
Iota Police Department,Not Represented in Misconduct Data
Jackson Police Department,Not Represented in Misconduct Data
Jean Lafitte Police Department,Not Represented in Misconduct Data
Jefferson Animal Shelter,Not Represented in Misconduct Data
Jefferson Fire Department,Not Represented in Misconduct Data
Jefferson First Court,Not Represented in Misconduct Data
Jefferson Police Department,Not Represented in Misconduct Data
Jonesboro Police Department,Not Represented in Misconduct Data
Jonesville Police Department,Not Represented in Misconduct Data
Juvenile Services Bureau,Not Represented in Misconduct Data
Kaplan City Marshal's Office,Not Represented in Misconduct Data
KCS Railroad Police Department,Not Represented in Misconduct Data
Kentwood Police Department,Not Represented in Misconduct Data
Kilbourne Police Department,Not Represented in Misconduct Data
Kinder Police Department,Not Represented in Misconduct Data
Lafayette City Fire Department,Not Represented in Misconduct Data
Lafayette City Parks and Recreation,Not Represented in Misconduct Data
Lafitte Police Department,Not Represented in Misconduct Data
Lake Arthur Police Department,Not Represented in Misconduct Data
Lake Borgne Basin Levee District Police Department,Not Represented in Misconduct Data
Lake Charles City Marshal,Not Represented in Misconduct Data
Lake Charles Fire Department,Not Represented in Misconduct Data
Lake Charles Harbor Police Department,Not Represented in Misconduct Data
Lasalle Correctional Center,Not Represented in Misconduct Data
Leonville Police Department,Not Represented in Misconduct Data
Lillie Police Department,Not Represented in Misconduct Data
Lincoln Parish Sheriff's Office,Not Represented in Misconduct Data
Livestock Brand Commission,Not Represented in Misconduct Data
Livingston Police Department,Not Represented in Misconduct Data
Livonia Police Department,Not Represented in Misconduct Data
Logansport Police Department,Not Represented in Misconduct Data
Louisiana College University Police Department,Not Represented in Misconduct Data
Louisiana Department Motor Vehicle,Not Represented in Misconduct Data
Louisiana Department Of Environmental Quality,Not Represented in Misconduct Data
Louisiana Department Of Insurance,Not Represented in Misconduct Data
Louisiana Department Of Justice,Not Represented in Misconduct Data
Louisiana Department Of Revenue,Not Represented in Misconduct Data
Louisiana Department Of Transportation Police Department,Not Represented in Misconduct Data
Louisiana House Of Representatives Sergeant At Arms,Not Represented in Misconduct Data
Louisiana Military Department,Not Represented in Misconduct Data
Louisiana National Guard,Not Represented in Misconduct Data
Louisiana Office Of Inspector General,Not Represented in Misconduct Data
Louisiana Public Service Commission,Not Represented in Misconduct Data
Louisiana Secretary Of State,Not Represented in Misconduct Data
Louisiana Senate Security,Not Represented in Misconduct Data
Louisiana State Licensing Board,Not Represented in Misconduct Data
Louisiana State Museum Police Department,Not Represented in Misconduct Data
Louisiana Tech University Police Department,Not Represented in Misconduct Data
Louisiana Work Release,Not Represented in Misconduct Data
LSU Alexandria University Police Department,Not Represented in Misconduct Data
LSU Eunice University Police Department,Not Represented in Misconduct Data
LSU Medical Center,Not Represented in Misconduct Data
LSU Shreveport University Police Department,Not Represented in Misconduct Data
LSUHSC Monroe University Police Department,Not Represented in Misconduct Data
LSUHSC New Orleans University Police Department,Not Represented in Misconduct Data
LSUHSC Shreveport University Police Department,Not Represented in Misconduct Data
LSUHSC University Police Department,Not Represented in Misconduct Data
Madison Detention Center,Not Represented in Misconduct Data
Madison Parish Sheriff's Office,Not Represented in Misconduct Data
Mamou Police Department,Not Represented in Misconduct Data
Mangham Police Department,Not Represented in Misconduct Data
Many Police Department,Not Represented in Misconduct Data
Maringouin Police Department,Not Represented in Misconduct Data
Marion Police Department,Not Represented in Misconduct Data
Marksville City Marshal,Not Represented in Misconduct Data
Mcnary Police Department,Not Represented in Misconduct Data
McNeese University Police Department,Not Represented in Misconduct Data
Medical Center Of Louisiana New Orleans Police Department,Not Represented in Misconduct Data
Melville Police Department,Not Represented in Misconduct Data
Mer Rouge Police Department,Not Represented in Misconduct Data
Mermentau Police Department,Not Represented in Misconduct Data
Merryville Police Department,Not Represented in Misconduct Data
Minden City Court,Not Represented in Misconduct Data
Minden Police Department,Not Represented in Misconduct Data
Mississippi River Bridge Police Department,Not Represented in Misconduct Data
Monroe City Court,Not Represented in Misconduct Data
Monroe Fire Department,Not Represented in Misconduct Data
Montgomery Police Department,Not Represented in Misconduct Data
Mooringsport Police Department,Not Represented in Misconduct Data
Morehouse Constable,Not Represented in Misconduct Data
Morehouse District Attorney's Office,Not Represented in Misconduct Data
Morgan City 6th Ward Marshal,Not Represented in Misconduct Data
Morgan City Police Department,Not Represented in Misconduct Data
Morganza Police Department,Not Represented in Misconduct Data
Morse Police Department,Not Represented in Misconduct Data
Napoleonville Police Department,Not Represented in Misconduct Data
Natchez Police Department,Not Represented in Misconduct Data
Natchitoches City Marshal,Not Represented in Misconduct Data
Natchitoches Detention Center,Not Represented in Misconduct Data
New Llano Police Department,Not Represented in Misconduct Data
New Orleans City Park Police Department,Not Represented in Misconduct Data
New Orleans Constable's Office,Not Represented in Misconduct Data
New Orleans Fire Department,Not Represented in Misconduct Data
New Roads Police Department,Not Represented in Misconduct Data
Newellton Police Department,Not Represented in Misconduct Data
Nicholls University Police Department,Not Represented in Misconduct Data
Norfolk Southern Railroad,Not Represented in Misconduct Data
Northwestern University Police Department,Not Represented in Misconduct Data
Norwood Police Department,Not Represented in Misconduct Data
NSU University Police Department,Not Represented in Misconduct Data
Nunez Community College University Police Department,Not Represented in Misconduct Data
Office Of Inspector General,Not Represented in Misconduct Data
Office Of Youth Development Department Of Corrections,Not Represented in Misconduct Data
Oil City Police Department,Not Represented in Misconduct Data
Olla Police Department,Not Represented in Misconduct Data
Orleans Civil Parish Sheriff's Office,Not Represented in Misconduct Data
Orleans Coroners Office,Not Represented in Misconduct Data
Orleans Criminal Court,Not Represented in Misconduct Data
Orleans Criminal District Court,Not Represented in Misconduct Data
Orleans District Attorney's Office,Not Represented in Misconduct Data
Ouachita District Attorney's Office,Not Represented in Misconduct Data
Ouachita Fire Department,Not Represented in Misconduct Data
Out Of State,Not Represented in Misconduct Data
Palmetto Police Department,Not Represented in Misconduct Data
Parks Police Department,Not Represented in Misconduct Data
Pearl River Police Department,Not Represented in Misconduct Data
Pineville Marshal,Not Represented in Misconduct Data
Plaquemine Marshal,Not Represented in Misconduct Data
Plaquemine Police Department,Not Represented in Misconduct Data
Plaucheville Police Department,Not Represented in Misconduct Data
Pleasant Hill Police Department,Not Represented in Misconduct Data
Pollock Police Department,Not Represented in Misconduct Data
Pontchartrain Levee Police Department,Not Represented in Misconduct Data
Port Allen City Marshal,Not Represented in Misconduct Data
Port Barre Police Department,Not Represented in Misconduct Data
Port Fourchon Harbor Police Department,Not Represented in Misconduct Data
Port Vincent Police Department,Not Represented in Misconduct Data
Peace Officer Standards and Training,Not Represented in Misconduct Data
Probation and Parole,Not Represented in Misconduct Data
Probation and Parole Juvenile,Not Represented in Misconduct Data
Quitman Police Department,Not Represented in Misconduct Data
Rapides Fire Department,Not Represented in Misconduct Data
Rayne City Marshal,Not Represented in Misconduct Data
Red River Parish Sheriff's Office,Not Represented in Misconduct Data
Reserve,Not Represented in Misconduct Data
Richland Detention Center,Not Represented in Misconduct Data
Richland Parish Sheriff's Office,Not Represented in Misconduct Data
Richwood Police Department,Not Represented in Misconduct Data
Ridgecrest Police Department,Not Represented in Misconduct Data
Robeline Police Department,Not Represented in Misconduct Data
Rodessa Police Department,Not Represented in Misconduct Data
Roseland Police Department,Not Represented in Misconduct Data
Ruston City Court,Not Represented in Misconduct Data
Ruston City Marshal,Not Represented in Misconduct Data
Ruston Police Department,Not Represented in Misconduct Data
Ryan Airport Police Department,Not Represented in Misconduct Data
Sabine River Authority,Not Represented in Misconduct Data
Sarepta Police Department,Not Represented in Misconduct Data
Shreveport City Marshal,Not Represented in Misconduct Data
Shreveport Fire Department,Not Represented in Misconduct Data
Sibley Police Department,Not Represented in Misconduct Data
Sicily Island Police Department,Not Represented in Misconduct Data
Simpson Police Department,Not Represented in Misconduct Data
Simsboro Police Department,Not Represented in Misconduct Data
Slaughter Police Department,Not Represented in Misconduct Data
Southeast Louisiana Flood Protection Authority,Not Represented in Misconduct Data
Southeastern University Police Department,Not Represented in Misconduct Data
Southern Baton Rouge University Police Department,Not Represented in Misconduct Data
Southern New Orleans University Police Department,Not Represented in Misconduct Data
Southern University Police Department,Not Represented in Misconduct Data
Spearsville Police Department,Not Represented in Misconduct Data
Springfield Police Department,Not Represented in Misconduct Data
St. Charles Parish Sheriff's Office,Not Represented in Misconduct Data
St. Gabriel Police Department,Not Represented in Misconduct Data
St. George Fire Department,Not Represented in Misconduct Data
St. Helena Parish Sheriff's Office,Not Represented in Misconduct Data
St. Landry District Attorney's Office,Not Represented in Misconduct Data
St. Mary Coroners Office,Not Represented in Misconduct Data
St. Mary Parish Sheriff's Office,Not Represented in Misconduct Data
St. Tammany 5th Ward Constable,Not Represented in Misconduct Data
St. Tammany District Attorney's Office,Not Represented in Misconduct Data
St. Tammany Fire Department,Not Represented in Misconduct Data
State Fire Marshal,Not Represented in Misconduct Data
State Parks,Not Represented in Misconduct Data
State Parks Bayou Segnette,Not Represented in Misconduct Data
